URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://profiles.ihe.net/ITI/DSUBm/ValueSet/DSUBmPublishBundleActions,1.0.0-comment,active,,DSUBmPublishBundleActions,DSUBm Update to document sharing resources actions ValueSet,"A ValueSet of the allowed actions in a ITI-111 Resource Publish for the Folder List type and the DocumentReference resources.",,"hl7.fhir.r4b.core"
https://profiles.ihe.net/ITI/DSUBm/ValueSet/DSUBmlistTypesVS,1.0.0-comment,active,,DSUBmlistTypesVS,DSUBm List Types ValueSet,"ValueSet of the DSUBm List Types allowed",,"Internal"
https://profiles.ihe.net/ITI/DSUBm/ValueSet/DocumentReferenceStats,1.0.0-comment,active,,DocumentReferenceStats,DSUBm DocumentReference status codes,"ValueSet that does not include entered-in-error as that does not map",,"hl7.fhir.r4b.core"
https://profiles.ihe.net/ITI/DSUBm/ValueSet/payload-content-value-set,1.0.0-comment,active,,DSUBmPayload,DSUBm payload admitted Value Set,"Codes to represent the admitted payload MIME type chosen when creating subscription",,"Other"
