URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://profiles.ihe.net/RAD/MADO/ValueSet/MadoNarrativeNotEmpty,1.0.0,active,,MadoNarrativeNotEmpty,ValueSet: Non-empty Narrative status codes,"This value set includes all Narrative status codes that are not empty.",,"hl7.fhir.r4.core"
https://profiles.ihe.net/RAD/MADO/ValueSet/ProcedureEuImagingType,1.0.0,active,,ProcedureEuImagingType,ValueSet: Imaging Procedure Type,"This value set includes all imaging procedure types defined in SNOMED CT. The codes represent combinations of the modality to be used and the procedure to be performed.",,"SCT"
https://profiles.ihe.net/RAD/MADO/ValueSet/ValueSetAnatomicalRegion,1.0.0,active,,ValueSetAnatomicalRegion,ValueSet: Anatomical Region,"A shortlist of anatomical regions that can be used for searching reports and manifests. This set is defined in Table 6.X.6.4-1. In this case discrepancies, the values in the table have prevalence. It is planned to move this ValueSet to IHE terminologies. When that is done, this definition will be removed.",,"SCT"
