URL,Version,Status,OIDs,Name,Title,Description,Used
https://profiles.ihe.net/RAD/MADO/CodeSystem/MadoDeviceType,1.0.0,active,,MadoDeviceType,MADO Device Type Code System,"Code system for the type of device used in the MADO context. This code system is used to specify the type of device used in the MADO context, such as the type of device used as the author of an ImagingStudy in the MADO context.",
https://profiles.ihe.net/RAD/MADO/CodeSystem/MadoEndpointConnectionTypes,1.0.0,active,,MadoEndpointConnectionTypes,MADO Endpoint Connection Types Code System,"Code system for the MADO-specific Endpoint connection types used in the MADO context.",
