URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://profiles.ihe.net/QRPH/CCG/ValueSet/ccg-card-type,1.0.0,active,,CCG_Card_Type,ValueSet of all Current CCG Card Types,"This list includes all currently defined CCG CARD Types","StructureDefinition/ccg-card-adminrx-ad,StructureDefinition/ccg-card-proposedx-ad,StructureDefinition/ccg-card-stopsrv-ad,StructureDefinition/ccg-card-reqlabs-ad,StructureDefinition/ccg-card-reqprocserv-ad,StructureDefinition/ccg-card-provide-ad,StructureDefinition/ccg-card-reqrefserv-ad,StructureDefinition/ccg-card-orderrx-ad,StructureDefinition/ccg-card-reqradserv-ad,StructureDefinition/ccg-card-disprx-ad,StructureDefinition/ccg-card-reqvx-ad,StructureDefinition/ccg-card-collect-ad,StructureDefinition/ccg-card-stoprx-ad","Internal"
https://profiles.ihe.net/QRPH/CCG/ValueSet/ccg-signature-sigformat,1.0.0,active,,CCG_Sign_sigformat_VS,AllowedSignature signatureFormat,"Constraining to signature xml and json only","StructureDefinition/ccg-signature","Other"
https://profiles.ihe.net/QRPH/CCG/ValueSet/ccg-signature-target,1.0.0,active,,CCG_Sign_Target_VS,AllowedSignature targetFormat,"Constraining to fhir only","StructureDefinition/ccg-signature","Other"
