"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicationTreatmentLineLM.verificationInformation.modifierExtension","MedicationTreatmentLineLM.verificationInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationTreatmentLineLM.verificationInformation.verifier","MedicationTreatmentLineLM.verificationInformation.verifier","","","",1,1,"","","","Reference {[]} {[]}
","HCP (or device, if authorized) verifying the treatments/overview","HCP (or device, if authorized) verifying the treatments/overview","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.verificationInformation.verifier",1,1,"",""
"MedicationTreatmentLineLM.verificationInformation.verificationTime","MedicationTreatmentLineLM.verificationInformation.verificationTime","","","",1,1,"","","","dateTime {[]} {[]}
","The date and time when this medication treatment line was verified","The date and time when this medication treatment line was verified","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.verificationInformation.verificationTime",1,1,"",""
"MedicationTreatmentLineLM.category","MedicationTreatmentLineLM.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Whatever category for the treatment line. Categorisation of treatment lines is implementation-specific.","Whatever category for the treatment line. Categorisation of treatment lines is implementation-specific.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.category",0,*,"",""
"MedicationTreatmentLineLM.medicationTreatment","MedicationTreatmentLineLM.medicationTreatment","","","",0,*,"","","","https://profiles.ihe.net/PHARM/MEOW/StructureDefinition/MedicationTreatmentLM {[]} {[]}
","Reference or identifier of the group of lines that belong together","Reference or identifier of the group of lines that belong together","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.medicationTreatment",0,*,"",""
"MedicationTreatmentLineLM.indication","MedicationTreatmentLineLM.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason why the product has been prescribed to the patient, or why the patient claims to be taking it","Reason why the product has been prescribed to the patient, or why the patient claims to be taking it","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.indication",0,*,"",""
"MedicationTreatmentLineLM.indicationText","MedicationTreatmentLineLM.indicationText","","","",0,1,"","","","string {[]} {[]}
","Textual explanation for why the medication has been prescribed or why the patient is taking it. This might not be allowed by some implementations.","Textual explanation for why the medication has been prescribed or why the patient is taking it. This might not be allowed by some implementations.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.indicationText",0,1,"",""
"MedicationTreatmentLineLM.intendedUse","MedicationTreatmentLineLM.intendedUse","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Intended Use of the medication - prophylaxis, therapy...","Intended Use of the medication - prophylaxis, therapy...","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.intendedUse",0,1,"",""
"MedicationTreatmentLineLM.usageInstructions","MedicationTreatmentLineLM.usageInstructions","","","",0,*,"","","","https://profiles.ihe.net/PHARM/MEOW/StructureDefinition/DosagingInformation {[]} {[]}
","Instructions about administration of the product","Instructions about requested or actual administration of the product. This is repeatable to support complex or concurrent dosage instructions. e.g. take 1 per day for 3 weeks; 2x PRN","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.usageInstructions",0,*,"",""
"MedicationTreatmentLineLM.preparationInstructions","MedicationTreatmentLineLM.preparationInstructions","","","",0,*,"","","","string {[]} {[]}
","Additional instructions about preparation or dispense","Additional instructions about preparation or dispense","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.preparationInstructions",0,*,"",""
